IATA,ICAO,Airport name,Country,City,Information
EHL,SAVB,El Bolsón Airfield,Argentina,El Bolsón,https://www.worlddata.info/america/argentina/airports.php
EHM,PAEH,Cape Newenham LRRS,United States of America,Cape Newenham,https://www.worlddata.info/america/usa/airports.php
EHU,ZHEC,Ezhou Huahu Intl,China,Ezhou,https://www.worlddata.info/asia/china/airports.php
EIB,EDGE,Eisenach-Kindel,Germany,Hörselberg-Hainich,https://www.worlddata.info/europe/germany/airports.php
EIE,UNII,Yeniseysk,Russia,Yeniseysk,https://www.worlddata.info/europe/russia/airports.php
EIH,YEIN,Einasleigh,Australia,Einasleigh,https://www.worlddata.info/oceania/australia/airports.php
EIK,,Yeysk,Russia,Yeysk,https://www.worlddata.info/europe/russia/airports.php
EIL,PAEI,Eielson Air Force Base,United States of America,Fairbanks,https://www.worlddata.info/america/usa/airports.php
EIN,EHEH,Eindhoven,Netherlands,Eindhoven,https://www.worlddata.info/europe/netherlands/airports.php
EIS,TUPJ,Terrance B. Lettsome Intl,British Virgin Islands,Beef Island,https://www.worlddata.info/america/british-virgin-islands/airports.php
EIY,LLEY,Ein Yahav Airfield,Israel,Sapir,https://www.worlddata.info/asia/israel/airports.php
EJA,SKEJ,Yariguíes,Colombia,Barrancabermeja,https://www.worlddata.info/america/colombia/airports.php
EJH,OEWJ,Al Wajh Domestic,Saudi Arabia,Al Wajh,https://www.worlddata.info/asia/saudi-arabia/airports.php
EJN,,Ejin Banner Taolai,China,Ejin Banner,https://www.worlddata.info/asia/china/airports.php
EJT,,Enejit,Marshall Islands,Enejit Island,https://www.worlddata.info/oceania/marshall-islands/airports.php
EKA,KEKA,Murray Field,United States of America,Eureka,https://www.worlddata.info/america/usa/airports.php
EKB,UASB,Ekibastuz,Kazakhstan,Ekibastuz,https://www.worlddata.info/asia/kazakhstan/airports.php
EKD,YELK,Elkedra,Australia,,https://www.worlddata.info/oceania/australia/airports.php
EKI,KEKM,Elkhart Mun,United States of America,Elkhart,https://www.worlddata.info/america/usa/airports.php
EKN,KEKN,Elkins-Randolph County Regional,United States of America,Elkins,https://www.worlddata.info/america/usa/airports.php
EKO,KEKO,Elko Regional,United States of America,Elko,https://www.worlddata.info/america/usa/airports.php
EKS,UHSK,Shakhtyorsk,Russia,Shakhtyorsk,https://www.worlddata.info/europe/russia/airports.php
EKT,ESSU,Eskilstuna,Sweden,Eskilstuna,https://www.worlddata.info/europe/sweden/airports.php
EKX,KEKX,Addington Field / Elizabethtown Regional,United States of America,Elizabethtown,https://www.worlddata.info/america/usa/airports.php
ELA,KELA,Eagle Lake,United States of America,Eagle Lake,https://www.worlddata.info/america/usa/airports.php
ELB,SKBC,Las Flores,Colombia,El Banco,https://www.worlddata.info/america/colombia/airports.php
ELC,YELD,Elcho Island,Australia,Elcho Island,https://www.worlddata.info/oceania/australia/airports.php
ELD,KELD,South Arkansas Regional at Goodwin Field,United States of America,El Dorado,https://www.worlddata.info/america/usa/airports.php
ELE,,EL Real,Panama,El Real de Santa María,https://www.worlddata.info/america/panama/airports.php
ELF,HSFS,El Fasher,Sudan,El Fasher,https://www.worlddata.info/africa/sudan/airports.php
ELG,DAUE,El Golea,Algeria,El Menia,https://www.worlddata.info/africa/algeria/airports.php
ELH,MYEH,North Eleuthera,Bahamas,North Eleuthera,https://www.worlddata.info/america/bahamas/airports.php
ELI,PFEL,Elim,United States of America,Elim,https://www.worlddata.info/america/usa/airports.php
ELJ,,El Recreo,Colombia,Ruperto Polania,https://www.worlddata.info/america/colombia/airports.php
ELK,KELK,Elk City Regional Business,United States of America,Elk City,https://www.worlddata.info/america/usa/airports.php
ELL,FAER,Ellisras Matimba,South Africa,Ellisras,https://www.worlddata.info/africa/south-africa/airports.php
ELM,KELM,Elmira Corning Regional,United States of America,Elmira/Corning,https://www.worlddata.info/america/usa/airports.php
ELN,KELN,Bowers Field,United States of America,Ellensburg,https://www.worlddata.info/america/usa/airports.php
ELO,SATD,El Dorado,Argentina,El Dorado,https://www.worlddata.info/america/argentina/airports.php
ELP,KELP,El Paso Intl,United States of America,El Paso,https://www.worlddata.info/america/usa/airports.php
ELQ,OEGS,Prince Naif bin Abdulaziz Intl,Saudi Arabia,Qassim,https://www.worlddata.info/asia/saudi-arabia/airports.php
ELR,,Elelim,Indonesia,Elelim,https://www.worlddata.info/asia/indonesia/airports.php
ELS,FAEL,King Phalo,South Africa,East London,https://www.worlddata.info/africa/south-africa/airports.php
ELT,HETR,At Tur,Egypt,At Tur,https://www.worlddata.info/africa/egypt/airports.php
ELU,DAUO,Guemar - مطار قمار بالوادي,Algeria,Guemar,https://www.worlddata.info/africa/algeria/airports.php
ELY,KELY,Ely Yelland Field,United States of America,Ely,https://www.worlddata.info/america/usa/airports.php
ELZ,KELZ,Wellsville Mun - Tarantine Field,United States of America,Wellsville,https://www.worlddata.info/america/usa/airports.php
EMA,EGNX,East Midlands,United Kingdom,"Nottingham, Leicestershire",https://www.worlddata.info/europe/united-kingdom/airports.php
EMD,YEML,Emerald,Australia,Emerald,https://www.worlddata.info/oceania/australia/airports.php
EME,EDWE,Emden,Germany,Emden,https://www.worlddata.info/europe/germany/airports.php
EMG,FAEM,Empangeni,South Africa,Empangeni,https://www.worlddata.info/africa/south-africa/airports.php
EMI,,Emirau,Papua New Guinea,Emirau Island,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
EMK,PAEM,Emmonak,United States of America,Emmonak,https://www.worlddata.info/america/usa/airports.php
EMM,KEMM,Kemmerer Mun,United States of America,Kemmerer,https://www.worlddata.info/america/usa/airports.php
EMN,GQNI,Néma,Mauritania,Néma,https://www.worlddata.info/africa/mauritania/airports.php
EMO,AYEO,Emo River Airstrip,Papua New Guinea,Emo Mission,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
EMP,KEMP,Emporia Mun,United States of America,Emporia,https://www.worlddata.info/america/usa/airports.php
EMS,AYEB,Embessa,Papua New Guinea,Embessa,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
EMT,KEMT,San Gabriel Valley,United States of America,El Monte,https://www.worlddata.info/america/usa/airports.php
EMX,SAVD,El Maitén,Argentina,El Maitén,https://www.worlddata.info/america/argentina/airports.php
EMY,,El Minya,Egypt,El Minya,https://www.worlddata.info/africa/egypt/airports.php
ENA,PAEN,Kenai Mun,United States of America,Kenai,https://www.worlddata.info/america/usa/airports.php
ENB,YEEB,Eneabba,Australia,Eneabba,https://www.worlddata.info/oceania/australia/airports.php
ENC,LFSN,Nancy-Essey,France,"Tomblaine, Meurthe-et-Moselle",https://www.worlddata.info/europe/france/airports.php
END,KEND,Vance Air Force Base,United States of America,Enid,https://www.worlddata.info/america/usa/airports.php
ENE,WATE,H. Hasan Aroeboesman (Ende),Indonesia,Ende,https://www.worlddata.info/asia/indonesia/airports.php
ENF,EFET,Enontekio,Finland,Enontekio,https://www.worlddata.info/europe/finland/airports.php
ENH,ZHES,Enshi Xujiaping,China,Enshi (Enshi),https://www.worlddata.info/asia/china/airports.php
ENI,RPEN,El Nido,Philippines,El Nido,https://www.worlddata.info/asia/philippines/airports.php
ENJ,,El Naranjo,Guatemala,El Naranjo,https://www.worlddata.info/america/guatemala/airports.php
ENK,EGAB,Enniskillen/St Angelo,United Kingdom,"Enniskillen, Fermanagh and Omagh",https://www.worlddata.info/europe/united-kingdom/airports.php
ENL,KENL,Centralia Mun,United States of America,Centralia,https://www.worlddata.info/america/usa/airports.php
ENN,PANN,Nenana Mun,United States of America,Nenana,https://www.worlddata.info/america/usa/airports.php
ENO,SGEN,Teniente Ramon A. Ayub Gonzalez Intl,Paraguay,Encarnación,https://www.worlddata.info/america/paraguay/airports.php
ENS,EHTW,Twente,Netherlands,Enschede,https://www.worlddata.info/europe/netherlands/airports.php
ENT,PKMA,Eniwetok,Marshall Islands,Eniwetok Atoll,https://www.worlddata.info/oceania/marshall-islands/airports.php
ENU,DNEN,Akanu Ibiam Intl,Nigeria,Enegu,https://www.worlddata.info/africa/nigeria/airports.php
ENV,KENV,Wendover,United States of America,Wendover,https://www.worlddata.info/america/usa/airports.php
ENW,KENW,Kenosha Regional,United States of America,Kenosha,https://www.worlddata.info/america/usa/airports.php
ENY,ZLYA,Yan'an Nanniwan,China,Yan'an (Baota),https://www.worlddata.info/asia/china/airports.php
